row_number,name,url,issue_count,issues,has_name,has_description,has_url,has_educational_level,has_slug
48,Intermediate Python,https://ucdavisdatalab.github.io/workshop_intermediate_python/chapters/index.html,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
49,Intermediate R,https://ucdavisdatalab.github.io/workshop_intermediate_r/,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
50,Overview of Remote and High Performance Computing (HPC),https://video.ucdavis.edu/media/Overview%20of%20Remote%20and%20High%20Performance%20Computing%20(HPC)%20-%202024-02-15/1_zulcobsl,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
51,Introduction to Remote Computing,https://ucdavisdatalab.github.io/workshop_intro_to_remote_computing/chapters/index.html,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
52,Introduction to Desktop GIS with QGIS,https://ucdavisdatalab.github.io/Intro-to-Desktop-GIS-with-QGIS/,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
53,Spatial SQL with SpatiaLite,https://ucdavisdatalab.github.io/Spatial_SQL/,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
54,Geocoding,https://github.com/ucdavisdatalab/geocoding-workshop/blob/master/README.md,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
55,Coordinate Reference Systems,https://ucdavisdatalab.github.io/workshop_coordinate_reference_systems/,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
56,Introduction to Basic Statistics with R,https://ucdavisdatalab.github.io/basic_stats_r_1/,5,missing_description; missing_educationalLevel; missing_learnerCategory; missing_subTopic; missing_slug,yes,no,yes,no,no
57,TESTING again,(no url),4,missing_url; missing_educationalLevel; missing_subTopic; missing_slug,yes,yes,no,no,no
